Depth,Deviation,Azimuth,TrueVertical Depth,X Offset,Y Offset
3725,2.73,319,3719,135.84,-35.95
3754,3.19,315.9,3747.96,134.83,-34.85
3783,3.57,313.8,3776.91,133.62,-33.64
3841,2.99,317.2,3834.81,131.28,-31.28
3843,3.59,317.5,3836.81,131.21,-31.2
3870,2.95,314,3863.77,130.14,-30.09
3898,2.61,317.4,3891.73,129.19,-29.12
3927,2.71,314.8,3920.7,128.25,-28.16
3956,2.92,313.6,3949.67,127.23,-27.16
3985,3.27,316.2,3978.62,126.12,-26.06
4014,3.45,313.7,4007.57,124.92,-24.86
4043,3.4,316.7,4036.52,123.7,-23.63
4072,3.34,316.7,4065.47,122.53,-22.39
4101,3.29,318.7,4094.42,121.4,-21.15
4131,3.54,322.9,4124.37,120.27,-19.76
4159,3.47,322.5,4152.32,119.24,-18.4
4188,2.99,324.9,4181.27,118.27,-17.09
4217,2.6,319.8,4210.24,117.41,-15.96
4246,2.42,317.7,4239.21,116.57,-15.01
4275,1.9,308.7,4268.19,115.78,-14.26
4303,1.69,314.4,4296.17,115.13,-13.68
4328,2.5,315.9,4321.16,114.48,-13.03
4332,2.63,316,4325.15,114.36,-12.9
4361,2.86,314.7,4354.12,113.38,-11.91
4389,2.96,315.1,4382.08,112.38,-10.91
4418,2.95,315.6,4411.05,111.33,-9.84
4447,2.81,318.5,4440.01,110.33,-8.78
4476,2.74,325.1,4468.98,109.46,-7.68
4534,2.13,326.6,4526.92,108.08,-5.64
4563,1.41,322.9,4555.91,107.56,-4.91
4592,1.67,321,4584.9,107.08,-4.29
4621,2.02,309,4613.88,106.42,-3.64
4650,1.67,290.4,4642.87,105.63,-3.18
4678,1.58,285.8,4670.86,104.87,-2.93
4707,1.32,273.2,4699.85,104.16,-2.8
4736,1.41,266.5,4728.84,103.47,-2.8
4765,1.26,278.9,4757.83,102.8,-2.78
4794,1.73,284.4,4786.82,102.06,-2.62
4819,1.95,284.3,4811.81,101.28,-2.42
4832,2.07,284.2,4824.8,100.84,-2.31
4861,2.33,277.6,4853.78,99.74,-2.1
4890,3.03,288.8,4882.75,98.43,-1.78
4917,4.03,287.7,4909.7,96.86,-1.26
4943,4.26,284.2,4935.63,95.05,-0.74
4946,4.29,283.8,4938.62,94.83,-0.69
4977,4.16,283.4,4969.54,92.61,-0.15
4985,4.21,285.6,4977.52,92.05,0
4986,4.22,285.9,4978.51,91.98,0.02
5005,4.36,290.9,4997.46,90.63,0.46
5034,4.85,287.8,5026.37,88.43,1.23
5063,4.65,287.3,5055.27,86.14,1.95
5092,5.2,289,5084.16,83.78,2.73
5121,4.99,290.7,5113.04,81.36,3.61
5149,5.35,291.5,5140.93,79,4.52
5178,5.25,289.4,5169.81,76.49,5.46
5207,5.4,291.1,5198.68,73.97,6.39
5236,5.49,293.2,5227.55,71.42,7.42
5264,5.27,293.4,5255.43,69.01,8.46
5292,5.04,296.5,5283.31,66.73,9.52
5323,5.04,301.1,5314.19,64.34,10.83
5342,4.85,303.1,5333.12,62.95,11.7
5350,4.89,304.2,5341.09,62.39,12.07
5372,5.03,307.1,5363.01,60.84,13.18
5401,5.07,313.3,5391.9,58.89,14.83
5419,4.96,319.3,5409.83,57.81,15.96
5446,4.63,319.5,5436.74,56.34,17.68
5460,4.45,320.9,5450.69,55.63,18.53
5477,4.23,322.8,5467.64,54.84,19.54
5505,4.09,314.6,5495.57,53.5,21.06
5534,3.83,312.3,5524.5,52.05,22.44
5563,4.67,311.7,5553.42,50.45,23.88
5583,4.96,312.2,5573.35,49.2,25
5605,4.96,312.2,5595.27,47.79,26.28
